id,image_path,label,task_type,question,ground_truth,model_answer,correct
sample_00012_clutter_judgment,data/samples/sample_00012.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00012_occlusion_judgment,data/samples/sample_00012.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00013_counting,data/samples/sample_00013.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00013_object_presence,data/samples/sample_00013.png,scene_b1,object_presence,Is there a table visible in the image?,1,1,1
sample_00013_clutter_judgment,data/samples/sample_00013.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00013_occlusion_judgment,data/samples/sample_00013.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00014_counting,data/samples/sample_00014.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00014_object_presence,data/samples/sample_00014.png,scene_b1,object_presence,Is there a table visible in the image?,1,1,1
sample_00014_clutter_judgment,data/samples/sample_00014.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00014_occlusion_judgment,data/samples/sample_00014.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00015_counting,data/samples/sample_00015.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00015_object_presence,data/samples/sample_00015.png,scene_b1,object_presence,Is there a table visible in the image?,1,1,1
sample_00015_clutter_judgment,data/samples/sample_00015.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00015_occlusion_judgment,data/samples/sample_00015.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00016_counting,data/samples/sample_00016.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00016_object_presence,data/samples/sample_00016.png,scene_b1,object_presence,Is there a table visible in the image?,0,0,1
sample_00016_clutter_judgment,data/samples/sample_00016.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00016_occlusion_judgment,data/samples/sample_00016.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00017_counting,data/samples/sample_00017.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00017_object_presence,data/samples/sample_00017.png,scene_b1,object_presence,Is there a table visible in the image?,0,0,1
sample_00017_clutter_judgment,data/samples/sample_00017.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00017_occlusion_judgment,data/samples/sample_00017.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00018_counting,data/samples/sample_00018.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00018_object_presence,data/samples/sample_00018.png,scene_b1,object_presence,Is there a table visible in the image?,0,0,1
sample_00018_clutter_judgment,data/samples/sample_00018.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00018_occlusion_judgment,data/samples/sample_00018.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00019_counting,data/samples/sample_00019.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00019_object_presence,data/samples/sample_00019.png,scene_b1,object_presence,Is there a table visible in the image?,0,0,1
sample_00019_clutter_judgment,data/samples/sample_00019.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00019_occlusion_judgment,data/samples/sample_00019.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00020_counting,data/samples/sample_00020.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00020_object_presence,data/samples/sample_00020.png,scene_b1,object_presence,Is there a table visible in the image?,0,0,1
sample_00020_clutter_judgment,data/samples/sample_00020.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00020_occlusion_judgment,data/samples/sample_00020.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00021_counting,data/samples/sample_00021.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00021_object_presence,data/samples/sample_00021.png,scene_b1,object_presence,Is there a table visible in the image?,0,0,1
sample_00021_clutter_judgment,data/samples/sample_00021.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00021_occlusion_judgment,data/samples/sample_00021.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00022_counting,data/samples/sample_00022.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00022_object_presence,data/samples/sample_00022.png,scene_b1,object_presence,Is there a table visible in the image?,0,0,1
sample_00022_clutter_judgment,data/samples/sample_00022.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00022_occlusion_judgment,data/samples/sample_00022.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00023_counting,data/samples/sample_00023.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00023_object_presence,data/samples/sample_00023.png,scene_b1,object_presence,Is there a table visible in the image?,0,0,1
sample_00023_clutter_judgment,data/samples/sample_00023.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00023_occlusion_judgment,data/samples/sample_00023.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00024_counting,data/samples/sample_00024.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00024_object_presence,data/samples/sample_00024.png,scene_b1,object_presence,Is there a table visible in the image?,1,1,1
sample_00024_clutter_judgment,data/samples/sample_00024.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00024_occlusion_judgment,data/samples/sample_00024.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00025_counting,data/samples/sample_00025.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00025_object_presence,data/samples/sample_00025.png,scene_b1,object_presence,Is there a table visible in the image?,1,1,1
sample_00025_clutter_judgment,data/samples/sample_00025.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00025_occlusion_judgment,data/samples/sample_00025.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00026_counting,data/samples/sample_00026.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00026_object_presence,data/samples/sample_00026.png,scene_b1,object_presence,Is there a table visible in the image?,1,1,1
sample_00026_clutter_judgment,data/samples/sample_00026.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00026_occlusion_judgment,data/samples/sample_00026.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00027_counting,data/samples/sample_00027.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00027_object_presence,data/samples/sample_00027.png,scene_b1,object_presence,Is there a table visible in the image?,1,1,1
sample_00027_clutter_judgment,data/samples/sample_00027.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00027_occlusion_judgment,data/samples/sample_00027.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00028_counting,data/samples/sample_00028.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00028_object_presence,data/samples/sample_00028.png,scene_b1,object_presence,Is there a table visible in the image?,1,1,1
sample_00028_clutter_judgment,data/samples/sample_00028.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00028_occlusion_judgment,data/samples/sample_00028.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00029_counting,data/samples/sample_00029.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00029_object_presence,data/samples/sample_00029.png,scene_b1,object_presence,Is there a table visible in the image?,1,1,1
sample_00029_clutter_judgment,data/samples/sample_00029.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00029_occlusion_judgment,data/samples/sample_00029.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00030_counting,data/samples/sample_00030.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00030_object_presence,data/samples/sample_00030.png,scene_b1,object_presence,Is there a table visible in the image?,1,1,1
sample_00030_clutter_judgment,data/samples/sample_00030.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00030_occlusion_judgment,data/samples/sample_00030.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00031_counting,data/samples/sample_00031.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00031_object_presence,data/samples/sample_00031.png,scene_b1,object_presence,Is there a table visible in the image?,1,1,1
sample_00031_clutter_judgment,data/samples/sample_00031.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00031_occlusion_judgment,data/samples/sample_00031.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00032_counting,data/samples/sample_00032.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00032_object_presence,data/samples/sample_00032.png,scene_b1,object_presence,Is there a table visible in the image?,1,1,1
sample_00032_clutter_judgment,data/samples/sample_00032.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00032_occlusion_judgment,data/samples/sample_00032.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00033_counting,data/samples/sample_00033.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00033_object_presence,data/samples/sample_00033.png,scene_b1,object_presence,Is there a table visible in the image?,1,1,1
sample_00033_clutter_judgment,data/samples/sample_00033.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00033_occlusion_judgment,data/samples/sample_00033.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00034_counting,data/samples/sample_00034.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00034_object_presence,data/samples/sample_00034.png,scene_b1,object_presence,Is there a table visible in the image?,1,1,1
sample_00034_clutter_judgment,data/samples/sample_00034.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00034_occlusion_judgment,data/samples/sample_00034.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00035_counting,data/samples/sample_00035.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00035_object_presence,data/samples/sample_00035.png,scene_b1,object_presence,Is there a table visible in the image?,1,1,1
sample_00035_clutter_judgment,data/samples/sample_00035.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00035_occlusion_judgment,data/samples/sample_00035.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00036_counting,data/samples/sample_00036.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00036_object_presence,data/samples/sample_00036.png,scene_b1,object_presence,Is there a table visible in the image?,0,0,1
sample_00036_clutter_judgment,data/samples/sample_00036.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00036_occlusion_judgment,data/samples/sample_00036.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00037_counting,data/samples/sample_00037.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00037_object_presence,data/samples/sample_00037.png,scene_b1,object_presence,Is there a table visible in the image?,0,0,1
sample_00037_clutter_judgment,data/samples/sample_00037.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00037_occlusion_judgment,data/samples/sample_00037.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00038_counting,data/samples/sample_00038.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00038_object_presence,data/samples/sample_00038.png,scene_b1,object_presence,Is there a table visible in the image?,0,0,1
sample_00038_clutter_judgment,data/samples/sample_00038.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00038_occlusion_judgment,data/samples/sample_00038.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00039_counting,data/samples/sample_00039.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00039_object_presence,data/samples/sample_00039.png,scene_b1,object_presence,Is there a table visible in the image?,0,0,1
sample_00039_clutter_judgment,data/samples/sample_00039.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00039_occlusion_judgment,data/samples/sample_00039.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00040_counting,data/samples/sample_00040.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00040_object_presence,data/samples/sample_00040.png,scene_b1,object_presence,Is there a table visible in the image?,0,0,1
sample_00040_clutter_judgment,data/samples/sample_00040.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00040_occlusion_judgment,data/samples/sample_00040.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00041_counting,data/samples/sample_00041.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00041_object_presence,data/samples/sample_00041.png,scene_b1,object_presence,Is there a table visible in the image?,0,0,1
sample_00041_clutter_judgment,data/samples/sample_00041.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00041_occlusion_judgment,data/samples/sample_00041.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00042_counting,data/samples/sample_00042.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00042_object_presence,data/samples/sample_00042.png,scene_b1,object_presence,Is there a table visible in the image?,0,0,1
sample_00042_clutter_judgment,data/samples/sample_00042.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00042_occlusion_judgment,data/samples/sample_00042.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00043_counting,data/samples/sample_00043.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00043_object_presence,data/samples/sample_00043.png,scene_b1,object_presence,Is there a table visible in the image?,0,0,1
sample_00043_clutter_judgment,data/samples/sample_00043.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00043_occlusion_judgment,data/samples/sample_00043.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00044_counting,data/samples/sample_00044.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00044_object_presence,data/samples/sample_00044.png,scene_b1,object_presence,Is there a table visible in the image?,0,0,1
sample_00044_clutter_judgment,data/samples/sample_00044.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00044_occlusion_judgment,data/samples/sample_00044.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00045_counting,data/samples/sample_00045.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00045_object_presence,data/samples/sample_00045.png,scene_b1,object_presence,Is there a table visible in the image?,0,0,1
sample_00045_clutter_judgment,data/samples/sample_00045.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00045_occlusion_judgment,data/samples/sample_00045.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00046_counting,data/samples/sample_00046.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00046_object_presence,data/samples/sample_00046.png,scene_b1,object_presence,Is there a table visible in the image?,0,0,1
sample_00046_clutter_judgment,data/samples/sample_00046.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00046_occlusion_judgment,data/samples/sample_00046.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00047_counting,data/samples/sample_00047.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00047_object_presence,data/samples/sample_00047.png,scene_b1,object_presence,Is there a table visible in the image?,0,0,1
sample_00047_clutter_judgment,data/samples/sample_00047.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00047_occlusion_judgment,data/samples/sample_00047.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00048_counting,data/samples/sample_00048.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00048_object_presence,data/samples/sample_00048.png,scene_b1,object_presence,Is there a table visible in the image?,0,0,1
sample_00048_clutter_judgment,data/samples/sample_00048.png,scene_b1,clutter_judgment,Is the scene cluttered?,1,0,0
sample_00048_occlusion_judgment,data/samples/sample_00048.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00049_counting,data/samples/sample_00049.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00049_object_presence,data/samples/sample_00049.png,scene_b1,object_presence,Is there a table visible in the image?,0,0,1
sample_00049_clutter_judgment,data/samples/sample_00049.png,scene_b1,clutter_judgment,Is the scene cluttered?,1,0,0
sample_00049_occlusion_judgment,data/samples/sample_00049.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00050_counting,data/samples/sample_00050.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00050_object_presence,data/samples/sample_00050.png,scene_b1,object_presence,Is there a table visible in the image?,0,0,1
sample_00050_clutter_judgment,data/samples/sample_00050.png,scene_b1,clutter_judgment,Is the scene cluttered?,1,1,1
sample_00050_occlusion_judgment,data/samples/sample_00050.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
